Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.07,0.05,0.499%,0.00,United States,2002,54712,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$9.42,0.00,0.00%,0.00,United States,2002,17474,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$10.65,0.03,0.282%,0.00,United States,2002,11692,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.6711,-0.0189,-2.739%,1831314.00,United States,2007,152939,,
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$72.00,0.00,0.00%,8468208.00,United States,,366,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$2.34,-0.01,-0.426%,367856983.00,,2021,63320,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$4.38,-0.06,-1.351%,768153564.00,,2021,425163,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$4.35,0.07,1.636%,1452824649.00,Canada,2003,557469,Basic Materials,Precious Metals
NGD,New Gold Inc.,$1.06,0.00,0.00%,723769060.00,Canada,,2413520,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$63.17,3.39,5.671%,967792384.00,United States,1986,38143,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.71,0.04,0.522%,0.00,United States,,136721,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,$0.651,-0.0095,-1.438%,16958035.00,United States,2022,29870,Health Care,Biotechnology: Pharmaceutical Preparations
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$7.06,0.01,0.142%,0.00,,2013,122935,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.40,-0.03,-2.098%,16332400.00,United States,,22995,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$3.06,0.00,0.00%,0.00,United States,2003,119698,Finance,Finance/Investors Services
NSTB,Northern Star Investment Corp. II Class A Common stock,$10.17,0.00,0.00%,122789702.00,,2021,297,Finance,Investment Bankers/Brokers/Service
NTIP,Network-1 Technologies Inc. Common Stock,$2.25,0.04,1.81%,53550023.00,United States,,30567,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$7.00,0.11,1.597%,577095470.00,Canada,2022,451702,,
OGEN,Oragenics Inc. Common Stock,$3.55,-0.26,-6.824%,7187532.00,United States,,5697,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.5503,-0.0036,-0.65%,32319624.00,United States,2007,249971,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$4.56,0.15,3.401%,1404238320.00,,2020,295258,Basic Materials,Precious Metals
