Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$23.5453,-0.1732,-0.73%,,United States,,1350,,
BDL,Flanigan's Enterprises Inc. Common Stock,$30.40,0.00,0.00%,56502869.00,United States,1972,114,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$3.52,0.21,6.344%,38614400.00,Canada,,40648,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$27.15,0.23,0.854%,411147600.00,United States,1997,18895,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$16.54,0.41,2.542%,63571523.00,,2022,5584,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$10.45,-0.01,-0.096%,0.00,,2021,99689,Finance,Blank Checks
BKTI,BK Technologies Corporation Common Stock,$13.75,-0.28,-1.996%,46745050.00,United States,,5467,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$10.55,-0.01,-0.095%,0.00,,2021,12565,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$2.90,0.00,0.00%,34401830.00,,2018,2942,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$8.13,0.37,4.768%,154002631.00,United States,,38381,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.555,0.045,1.793%,25439335.00,United States,1965,24965,Energy,Oil & Gas Production
BSAQ,Black Spade Acquisition Co Class A Ordinary Shares,$10.59,-0.03,-0.282%,0.00,,2021,28912,Finance,Blank Checks
BTG,B2Gold Corp Common shares (Canada),$3.19,-0.03,-0.932%,3435323760.00,Canada,,8645039,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$0.2211,-0.0039,-1.733%,6752648.00,,2021,117982,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.599,-0.021,-3.387%,357029817.00,,2020,36431,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.95,-0.0158,-0.533%,8021504.00,Israel,,4918,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$0.559,-0.0163,-2.833%,156593430.00,United States,,158122,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$5.75,0.04,0.701%,47658381.00,United States,2022,2171,Health Care,Managed Health Care
CCF,Chase Corporation Common Stock,$125.82,-0.43,-0.341%,1196088202.00,United States,1995,187263,Consumer Discretionary,Building Products
CEI,Camber Energy Inc. Common Stock,$0.784,-0.0279,-3.436%,17738768.00,United States,,4531110,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$36.93,0.10,0.272%,8937990636.00,United States,1951,8042,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$9.97,0.07,0.707%,70124743.00,United States,1999,6388,Finance,Investment Bankers/Brokers/Service
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$10.62,0.09,0.855%,0.00,,2021,168,Finance,Blank Checks
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.01,0.02,0.669%,0.00,United States,,77103,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$21.70,-0.32,-1.453%,267208527.00,United States,1998,2887,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.07,0.00,0.00%,19882480.00,United States,2003,1201,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$8.71,0.09,1.044%,0.00,United States,2003,1970322,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$11.73,0.55,4.919%,225098700.00,Canada,,80385,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$23.99,0.17,0.714%,218505286.00,United States,1996,32630,Consumer Discretionary,Electronic Components
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$8.844,-0.006,-0.068%,49794108.00,China,2016,1998,Consumer Discretionary,Educational Services
COHN,Cohen & Company Inc.,$5.95,0.20,3.478%,10828203.00,United States,,16838,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.2611,-0.0145,-5.261%,2542505.00,China,,158933,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$49.94,-2.31,-4.421%,24172614163.00,United States,2007,237605,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$8.38,0.07,0.842%,0.00,United States,2003,1007008,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$18.30,-0.53,-2.815%,139440839.00,,2021,34298,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.4372,-0.0028,-0.636%,20693408.00,,2022,29192,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$1.49,-0.08,-5.096%,66624872.00,United States,1997,330594,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$25.1635,-0.4665,-1.82%,24311263.00,United States,1930,428,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$4.09,-0.04,-0.969%,50453815.00,United States,2022,9601,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.34,0.033,10.749%,70830788.00,Canada,,4586554,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,$3.00,0.11,3.806%,225943356.00,United States,2022,309309,Basic Materials,Precious Metals
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.89,0.02,1.07%,0.00,United States,1998,997174,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$220.00,-10.37,-4.501%,133911580.00,United States,1999,3149,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$7.13,-1.17,-14.096%,49917273.00,United States,2000,230097,Consumer Staples,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.26,0.03,0.482%,0.00,United States,1988,135355,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.40,0.00,0.00%,0.00,,2022,1,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.28,0.03,2.40%,1069288364.00,Canada,,3390710,,
DPSI,DecisionPoint Systems Inc. Common Stock,$5.10,-0.10,-1.923%,37828444.00,,2022,9586,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$0.265,0.00,0.00%,37170026.00,United States,,82792,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.67,-0.04,-5.634%,1455098.00,China,,338962,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.37,0.04,0.632%,0.00,United States,2003,117891,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.66,-0.01,-0.115%,0.00,United States,1986,9338,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$23.20,-0.10,-0.429%,,United States,,11060,,
EFSH,1847 Holdings LLC Common Shares,$0.214,-0.0049,-2.238%,1086034.00,,2022,3200630,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.78,0.06,0.617%,0.00,United States,2002,95890,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$5.42,0.13,2.457%,145782878.00,United States,,172123,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$16.98,0.00,0.00%,218193000.00,Israel,,419,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.14,0.04,0.396%,86809554.00,United States,2011,20787,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$2.00,0.00,0.00%,166083388.00,United States,,267903,Technology,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$1.85,0.03,1.648%,204728752.00,Canada,,101469,,
ENSV,Enservco Corporation Common Stock,$0.3888,-0.013,-3.235%,7277600.00,United States,,224428,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.45,-0.04,-0.421%,0.00,United States,2002,21329,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$9.46,0.19,2.05%,209109421.00,United States,2022,14142,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$9.59,-0.33,-3.327%,319046699.00,United States,,567576,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$5.02,0.10,2.033%,1567844387.00,Canada,,1460934,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.46,0.07,0.745%,0.00,United States,2003,31685,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$9.9278,-0.0622,-0.623%,0.00,,2004,36406,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$17.16,0.19,1.12%,46377182.00,United States,1960,2571,Technology,Industrial Machinery/Components
EU,enCore Energy Corp. Common Shares,$2.37,0.01,0.424%,339258440.00,,2023,367607,Basic Materials,Other Metals and Minerals
EVBN,Evans Bancorp Inc. Common Stock,$30.40,0.62,2.082%,166516152.00,United States,,5290,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$10.53,-0.0236,-0.224%,0.00,,2022,1313,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$24.26,-0.77,-3.076%,305063071.00,United States,1999,9412,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.84,0.01,0.113%,0.00,United States,2002,84864,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.39,0.04,0.428%,0.00,United States,2003,184280,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.70,0.02,0.746%,0.00,United States,1986,760183,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.91,0.0101,0.171%,0.00,United States,1992,53255,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.05,-0.35,-2.431%,0.00,United States,2004,47860,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$1.73,0.02,1.17%,33682493.00,United States,,716,Consumer Discretionary,Industrial Machinery/Components
FLAG,First Light Acquisition Group Inc. Class A Common Stock,$10.535,0.005,0.047%,0.00,,2021,3690,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.188,-0.002,-1.053%,5107597.00,,2022,3782464,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$17.99,0.05,0.279%,132686828.00,United States,1975,40612,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$2.92,0.04,1.389%,36311753.00,Canada,2002,17784,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.80,0.01,0.559%,186174635.00,United States,,493032,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.30,0.06,0.962%,254553856.00,United States,2003,93061,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.371,-0.0015,-0.403%,51743722.00,,2020,28711,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$0.621,0.0249,4.177%,139689884.00,Canada,,204917,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$1.13,0.03,2.727%,5799085.00,United States,1993,15298,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$15.38,0.18,1.184%,225435426.00,United States,,10373,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.74,0.01,0.268%,0.00,United States,2005,392862,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.3721,0.1221,0.549%,,United States,,272,,
GLDG,GoldMining Inc. Common Shares,$0.9103,0.0098,1.088%,158446853.00,,,239162,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$4.96,0.00,0.00%,0.00,United States,2006,164218,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.14,-0.04,-0.647%,0.00,United States,2005,40238,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$14.261,0.041,0.288%,85122640.00,United States,2004,8459,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.85,-0.04,-0.08%,,United States,,332,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.55,-0.02,-0.359%,70538186.00,United States,2004,40300,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.5394,-0.0456,-7.795%,27455491.00,,2022,11415167,Consumer Discretionary,Educational Services
GORO,Gold Resource Corporation Common Stock,$0.5902,-0.0178,-2.928%,52214133.00,United States,,381872,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.00,0.00,0.00%,0.00,United States,,366,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.22,0.00,0.00%,948485218.00,,2022,48987,,
GROY,Gold Royalty Corp. Common Shares,$1.68,0.02,1.205%,241773956.00,Canada,2021,232402,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.18,0.01,0.855%,2124000000.00,United States,2006,6940093,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$6.82,0.16,2.402%,251588859.00,Canada,,339925,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.69,0.00,0.00%,0.00,,2022,60,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$10.27,0.08,0.785%,0.00,United States,2007,25543,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$2.28,-0.06,-2.564%,24866485.00,United States,,117769,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$54.5472,-1.9528,-3.456%,,United States,,2238,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.35,0.03,0.694%,0.00,United States,1985,56850,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$2.00,-0.02,-0.99%,480737234.00,,2022,1024403,,
IBIO,iBio Inc. Common Stock,$0.673,0.178,35.96%,11305063.00,United States,,6562160,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.4775,0.0125,2.688%,16629401.00,United States,2017,24788,Consumer Discretionary,Advertising
IDR,Idaho Strategic Resources Inc. Common Stock,$5.27,0.12,2.33%,64591860.00,,2022,5803,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$16.25,0.09,0.557%,1510609490.00,,2022,487287,Basic Materials,Metal Mining
